Search_method Problem Max_evals Run Score
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 0 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 1 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 2 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 3 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 4 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 5 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 6 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 7 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 8 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 9 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 10 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 11 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 12 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 13 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 14 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 15 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 16 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 17 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 18 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 19 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 20 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 21 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 22 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 23 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 24 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 25 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 26 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 27 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 28 1440
Hill-Climber-LexiScore knapPI_11_20_1000_4 1000 29 1440
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 0 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 1 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 2 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 3 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 4 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 5 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 6 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 7 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 8 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 9 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 10 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 11 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 12 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 13 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 14 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 15 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 16 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 17 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 18 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 19 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 20 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 21 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 22 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 23 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 24 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 25 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 26 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 27 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 28 907
Hill-Climber-LexiScore knapPI_13_20_1000_4 1000 29 907
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 0 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 1 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 2 2597
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 3 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 4 2886
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 5 2886
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 6 2886
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 7 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 8 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 9 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 10 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 11 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 12 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 13 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 14 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 15 2682
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 16 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 17 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 18 2597
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 19 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 20 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 21 2671
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 22 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 23 2886
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 24 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 25 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 26 2557
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 27 2671
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 28 2893
Hill-Climber-LexiScore knapPI_16_20_1000_4 1000 29 2542
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 0 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 1 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 2 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 3 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 4 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 5 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 6 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 7 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 8 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 9 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 10 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 11 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 12 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 13 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 14 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 15 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 16 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 17 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 18 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 19 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 20 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 21 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 22 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 23 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 24 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 25 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 26 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 27 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 28 5180
Hill-Climber-LexiScore knapPI_11_200_1000_4 1000 29 5180
Hill-Climber-LexiScore knapPI_13_200_1000_4 1000 0 3680
Hill-Climber-LexiScore knapPI_13_200_1000_4 1000 1 3680
Hill-Climber-LexiScore knapPI_13_200_1000_4 1000 2 3680
Hill-Climber-LexiScore knapPI_13_200_1000_4 1000 3 3663
